Date,Headline,Sentiment_Class,FinBERT_Score,Open,Close,Price_Direction,Sentiment_Correct
2025-04-30,"Closing Bell Movers: Snap falls 14% after Q1 results, no guidance",bearish,0.9599303603172302,104.47,108.92,bullish,False
2025-04-30,"Stock market today: Nasdaq lead S&P 500, Dow higher as Microsoft, Meta earnings reassure Wall Street",bullish,0.8868542313575745,104.47,108.92,bullish,True
2025-04-30,Nvidia Stock Surges After Hours: What's Going On?,neutral,0.5694316625595093,104.47,108.92,bullish,False
2025-04-30,"Meta Jumps As Advertising, AI Spending Defy Tariff Concerns",bullish,0.7879810333251953,104.47,108.92,bullish,True
2025-04-30,"Advanced Micro Devices, Inc. (AMD) Started With a Buy Rating by Investment Bank",neutral,0.8994556665420532,104.47,108.92,bullish,False
2025-04-30,Still no US-China talks; Disappointing April data; Private enterprise law passes; Miao Hua; Xi on 15th Five-Year Plan; New white paper on Covid-19,neutral,0.8287869095802307,104.47,108.92,bullish,False
2025-04-30,Nvidia hit with Sell rating. Analysts say upside is priced in.,bullish,0.6937807202339172,104.47,108.92,bullish,True
2025-04-30,"’No evidence’ SMCI’s weak guidance hurts NVIDIA, Navellier says",bearish,0.905156672000885,104.47,108.92,bullish,False
2025-04-30,"Meta’s First Quarter Profit Soars 35%, Posts Second-Best Revenue Ever",bullish,0.86754310131073,104.47,108.92,bullish,True
2025-04-30,Meta And Microsoft Stocks Soar On Robust Earnings Reports,bullish,0.9282472729682922,104.47,108.92,bullish,True
2025-04-30,Nvidia’s stock gets a rare sell call – due to ‘mounting questions’ about AI - MarketWatch,bearish,0.9606316089630128,104.47,108.92,bullish,False
2025-04-30,"Is Micron Technology, Inc. (MU) the Cheap Semiconductor Stock to Buy Now?",neutral,0.9091030359268188,104.47,108.92,bullish,False
2025-04-30,"Nvidia Slammed With ""Sell"" Rating on Overvaluation and Supply Constraints",bearish,0.9637820720672609,104.47,108.92,bullish,False
2025-04-30,"Stock Market Today: Dow Jones Falls On GDP Shock; Nvidia, Tesla Dive As Super Micro Crashes (Live Coverage)",bearish,0.8941856622695923,104.47,108.92,bullish,False
2025-04-30,Stocks sink after weak GDP report but halve losses after inflation update,bearish,0.9220116138458252,104.47,108.92,bullish,False
2025-04-30,Nvidia RTX 50-series demand drops in Germany — cheapest models of all but RTX 5090 priced at MSRP or lower,bearish,0.9724475741386414,104.47,108.92,bullish,False
2025-04-30,Nvidia gets rare sell rating as Seaport says AI fully priced in,bullish,0.8445838689804077,104.47,108.92,bullish,True
2025-04-30,"Dividend Investor Who Earned $18,000 a Month Despite 'Bloody' Selloff Shares His Top 6 Stock Picks",neutral,0.7958223223686218,104.47,108.92,bullish,False
2025-04-30,The One AI Stock You Should Not Buy,neutral,0.9129126071929932,104.47,108.92,bullish,False
2025-04-30,"Down 83% After Nvidia Hype Fades, Is WeRide a Buy Now?",bearish,0.8283417820930481,104.47,108.92,bullish,False
2025-05-06,"Grant Cardone Says, 'America About To Have Greatest Resurgence In Its 250-Year History,' Thanks Trump For Encouraging Big Tech To Come Home",bullish,0.9115307927131652,111.48,113.54,bullish,True
2025-05-06,DigitalOcean shares drop after strong first quarter,bearish,0.9700229167938232,111.48,113.54,bullish,False
2025-05-06,DigitalOcean shares drop despite strong first quarter,bearish,0.9717034697532654,111.48,113.54,bullish,False
2025-05-06,AMD’s Bullish Sales Outlook Tempered by China Concerns,bullish,0.5921798944473267,111.48,113.54,bullish,True
2025-05-06,U.S. stocks drop on concerns over trade tensions,bearish,0.9166579246520996,111.48,113.54,bullish,False
2025-05-06,Supermicro Stock Drops as Server Maker Lowers Its Revenue Outlook,bearish,0.9705925583839417,111.48,113.54,bullish,False
2025-05-06,Nvidia CEO Jensen Huang says dropping chip restrictions would bring jobs to the US,bullish,0.6863570213317871,111.48,113.54,bullish,True
2025-05-06,AMD earnings beat as overall sales surge by 36%,bullish,0.9356443285942078,111.48,113.54,bullish,True
2025-05-06,Chipmaker AMD forecasts second-quarter revenue above estimates,bullish,0.9231300950050354,111.48,113.54,bullish,True
2025-05-06,"Nvidia, Broadcom Lead Fund Manager Buys Even As Semiconductor Sector Cools: Analysts",bullish,0.6796542406082153,111.48,113.54,bullish,True
2025-05-06,"AMD posts better than anticipated Q1 earnings, stock jumps on strong Q2 outlook",bullish,0.938926637172699,111.48,113.54,bullish,True
2025-05-06,Super Micro forecasts fourth-quarter revenue below estimates; shares fall,bearish,0.8906285166740417,111.48,113.54,bullish,False
2025-05-06,10 tech stocks that could rally up to 41% — and make good use of your money,bullish,0.8540298342704773,111.48,113.54,bullish,True
2025-05-06,Beyond Valuation Ratios: 3 Undervalued Stocks To Buy In May 2025,bullish,0.7805560231208801,111.48,113.54,bullish,True
2025-05-06,Nvidia CEO says being locked out of China AI market would be 'tremendous loss',bearish,0.6047249436378479,111.48,113.54,bullish,False
2025-05-06,"AMD, Arm Offer Window Into AI Landscape Ahead of Nvidia Earnings",neutral,0.6828752756118774,111.48,113.54,bullish,False
2025-05-06,How to Deploy Qwen-3 on DigitalOcean GPU Droplets,neutral,0.9190717935562134,111.48,113.54,bullish,False
2025-05-06,US stocks sink again as more companies detail damage they're taking because of Trump's trade war,bearish,0.9088044762611388,111.48,113.54,bullish,False
2025-05-06,"AMD, Arm offer window into AI landscape ahead of Nvidia earnings",neutral,0.6828752756118774,111.48,113.54,bullish,False
2025-05-06,"AMD to report Q1 earnings as AI, tariffs remain in focus",bullish,0.4137753248214721,111.48,113.54,bullish,True
2025-05-06,"Staying nonprofit could slow, not stop, OpenAI fundraising",neutral,0.8289034366607666,111.48,113.54,bullish,False
2025-05-06,"Advanced Micro Devices, Inc. (AMD) Is a Good Buy on Weakness, Commentator Suggests",bullish,0.5917524099349976,111.48,113.54,bullish,True
